"sale_price","sale_date","address","beds","full_baths","half_baths","sqft","acres","lat","long"
NA,2025-09-23,"522 GLENDALE CIR, Ann Arbor, MI 48103",3,1,2,1902,0.147,42.277367294339,-83.771153565076
NA,2025-09-23,"428 EIGHTH ST, Ann Arbor, MI 48103",2,1,1,1332,0.139,42.277488409058,-83.759567695747
1031760,2025-09-23,"2245 TRILLIUM LN, Ann Arbor, MI 48104",4,3,1,1946,NA,NA,NA
1,2025-09-22,"3001 GEDDES AVE, ANN ARBOR, MI 48104",4,4,1,4478,0.745,42.272960886855,-83.709680857071
350000,2025-09-22,"1673 BROADWAY ST, ANN ARBOR, MI 48105",2,1,0,1530,0.538,42.295610977302,-83.726955659903
1,2025-09-22,"3267 TURNBERRY LA, Ann Arbor, MI 48108",4,2,1,1936,0.158,42.236550051976,-83.689494879227
1,2025-09-19,"2581 ESCH AV, Ann Arbor, MI 48104",4,2,1,1979,0.218,42.250513699821,-83.729064314544
1,2025-09-19,"2581 ESCH AV, Ann Arbor, MI 48104",4,2,1,1979,0.218,42.250513699821,-83.729064314544
1,2025-09-19,"930 SHERWOOD ST, Ann Arbor, MI 48103",3,1,1,1323,0.247,42.270179647497,-83.768471768411
470000,2025-09-19,"921 W WASHINGTON ST, Ann Arbor, MI 48103",4,2,0,1470,0.158,42.280755318626,-83.758910134811
695000,2025-09-19,"113 S FOURTH AV 6, Ann Arbor, MI 48104",2,1,1,1198,0.1,NA,NA
695000,2025-09-19,"S FOURTH AV VACANT, Ann Arbor, MI 48104",0,0,0,NA,0.1,NA,NA
685000,2025-09-19,"S FOURTH AV VACANT, Ann Arbor, MI 48104",0,0,0,NA,NA,NA,NA
NA,2025-09-18,"1360 ARLINGTON BLV, Ann Arbor, MI 48104",0,0,0,NA,0.458,42.265514957443,-83.707081145958
278385,2025-09-18,"2666 PACKARD RD, Ann Arbor, MI 48104",2,2,1,1116,NA,42.245884534916,-83.717247987379
435000,2025-09-18,"2115 NATURE COVE CT 202, Ann Arbor, MI 48104",2,2,0,1800,NA,42.257714823606,-83.716928805985
1300000,2025-09-17,"818 S SEVENTH ST, Ann Arbor, MI 48103",2,2,0,2780,0.331,42.271381067313,-83.758436525142
1300000,2025-09-17,"S SEVENTH ST VACANT, Ann Arbor, MI 48103",0,0,0,NA,0.331,NA,NA
NA,2025-09-17,"1411 AVONDALE AV, Ann Arbor, MI 48103",3,2,0,1545,0.248,42.261355492943,-83.763955959453
NA,2025-09-17,"1411 AVONDALE AV, Ann Arbor, MI 48103",3,2,0,1545,0.248,42.261355492943,-83.763955959453
